Date,Open,High,Low,Close,Adj Close,Volume
2020-04-09,277.579987,281.200012,275.470001,278.200012,271.092224,189999200
2020-04-13,277.140015,277.510010,271.410004,275.660004,268.617126,114839100
2020-04-14,280.980011,284.899994,275.510010,283.790009,276.539368,134143400
2020-04-15,277.570007,283.940002,275.459991,277.760010,270.663422,121775000
2020-04-16,279.149994,280.029999,275.760010,279.100006,271.969208,131798300
2020-04-17,285.380005,287.299988,282.399994,286.640015,279.316589,146684800
2020-04-20,282.609985,286.790009,281.350006,281.589996,274.395630,100109300
2020-04-21,276.730011,278.040009,272.019989,273.040009,266.064056,126385700
2020-04-22,278.350006,281.000000,276.910004,279.100006,271.969208,92951600
2020-04-23,280.489990,283.940002,278.750000,279.079987,271.949707,104709700
2020-04-24,280.730011,283.700012,278.500000,282.970001,275.740326,85063200
2020-04-27,285.119995,288.269989,284.619995,287.049988,279.716064,77896600
2020-04-28,291.019989,291.399994,285.399994,285.730011,278.429840,105270000
2020-04-29,291.529999,294.880005,290.410004,293.209991,285.718719,118745600
2020-04-30,291.709991,293.320007,288.589996,290.480011,283.058472,122901700
2020-05-01,285.309998,290.660004,281.519989,282.790009,275.564941,125180000
2020-05-04,280.739990,283.899994,279.130005,283.570007,276.325012,80873200
2020-05-05,286.640015,289.250000,283.709991,286.190002,278.878052,79569900
2020-05-06,288.040009,288.459991,283.779999,284.250000,276.987640,73632600
2020-05-07,287.750000,289.779999,287.130005,287.679993,280.330017,75250400
2020-05-08,291.089996,292.950012,289.859985,292.440002,284.968384,76452400
2020-05-11,290.339996,294.000000,289.880005,292.500000,285.026855,79514200
2020-05-12,293.790009,294.239990,286.519989,286.670013,279.345795,95870800
2020-05-13,286.059998,287.190002,278.959991,281.600006,274.405334,144721100
2020-05-14,278.950012,285.109985,272.989990,284.970001,277.689240,121977900
2020-05-15,282.369995,286.329987,281.339996,286.279999,278.965759,111146300
2020-05-18,293.049988,296.750000,292.700012,295.000000,287.463043,119703800
2020-05-19,294.350006,296.209991,291.950012,291.970001,284.510437,95189300
2020-05-20,295.820007,297.869995,295.570007,296.929993,289.343658,85861700
2020-05-21,296.790009,297.670013,293.690002,294.880005,287.346008,78293900
2020-05-22,294.570007,295.630005,293.220001,295.440002,287.891724,63958200
2020-05-26,301.929993,302.190002,295.459991,299.079987,291.438721,88951400
2020-05-27,302.119995,303.570007,296.869995,303.529999,295.775024,104817400
2020-05-28,304.649994,306.839996,302.239990,302.970001,295.229340,90405200
2020-05-29,302.459991,304.959991,299.470001,304.320007,296.544830,119090800
2020-06-01,303.619995,306.209991,303.059998,305.549988,297.743408,55758300
2020-06-02,306.549988,308.130005,305.100006,308.079987,300.208771,74267200
2020-06-03,310.239990,313.220001,309.940002,312.179993,304.204010,92567600
2020-06-04,311.109985,313.000000,309.079987,311.359985,303.404968,75794400
2020-06-05,317.230011,321.269989,317.160004,319.339996,311.181091,150524700
2020-06-08,320.220001,323.410004,319.630005,323.200012,314.942474,73641200
2020-06-09,320.299988,323.279999,319.359985,320.790009,312.594116,77479200
2020-06-10,321.420013,322.390015,318.220001,319.000000,310.849823,95000800
2020-06-11,311.459991,312.149994,300.010010,300.609985,292.929626,209243600
2020-06-12,308.239990,309.079987,298.600006,304.209991,296.437683,194678900
2020-06-15,298.019989,308.279999,296.739990,307.049988,299.205109,135782700
2020-06-16,315.480011,315.640015,307.670013,312.959991,304.964142,137627500
2020-06-17,314.070007,314.390015,310.859985,311.660004,303.697327,83398900
2020-06-18,310.010010,312.299988,309.510010,311.779999,303.814270,80828700
2020-06-19,314.170013,314.380005,306.529999,308.640015,302.078003,135549600
2020-06-22,307.989990,311.049988,306.750000,310.619995,304.015869,74649400
2020-06-23,313.489990,314.500000,311.609985,312.049988,305.415466,68471200
2020-06-24,309.839996,310.510010,302.100006,304.089996,297.624725,132813500
2020-06-25,303.470001,307.640015,301.279999,307.350006,300.815399,89468000
2020-06-26,306.160004,306.390015,299.420013,300.049988,293.670593,127961000
2020-06-29,301.410004,304.609985,298.929993,304.459991,297.986877,79773300
2020-06-30,303.989990,310.200012,303.820007,308.359985,301.803894,113394800
2020-07-01,309.570007,311.890015,309.070007,310.519989,303.917999,72396500
2020-07-02,314.239990,315.700012,311.510010,312.230011,305.591675,69344200
2020-07-06,316.369995,317.679993,315.559998,317.049988,310.309174,61713800
2020-07-07,315.380005,317.519989,313.369995,313.779999,307.108704,82910000
2020-07-08,314.609985,316.299988,312.700012,316.179993,309.457703,54638600
2020-07-09,316.839996,317.100006,310.679993,314.380005,307.695953,83354200
2020-07-10,314.309998,317.880005,312.760010,317.589996,310.837708,57550400
2020-07-13,320.130005,322.709991,314.130005,314.839996,308.146118,102997500
2020-07-14,313.299988,319.760010,312.000000,318.920013,312.139435,93657000
2020-07-15,322.410004,323.040009,319.269989,321.850006,315.007080,87196500
2020-07-16,319.790009,321.279999,319.089996,320.790009,313.969696,54622500
